address,balance
0xec4dcadcf92e83c40a4b337a0693399262e73736,270800000000
0x7aa2418e8e57a40e1021ccfef5dc164599dcc1ce,273100000000
0x85b2470a3f3f30b297ac3fea44a2f151462e23e5,275900000000
0x7373a92933a5221d84f39aaecef8cad34c991829,275900000000
0x8da6ab3715d516715c3265f1cd9b86c1495994dd,257600000000
0x384ae26c54847e4b5b5253203ea1944c2f4e10d0,272600000000
0xfb78ba7a5146c65ddcb1a9dfda5831641b8f72f1,270600000000
0xf086d953647334d08b964489ad3635943628e553,270000000000
0x33b2900b32710e4efa2c81300410dd933b730af2,275100000000
0x45b83435776885725201b1fd81564f24a220ff2a,234900000000
0xa97afb8a332ce2b667dd42e530dbc28e6831bec3,272700000000
0xcf8f2b9336d02596953dfa25f297bad19699ac5e,275600000000
0xa9fa34ac99a6b80c0f3f6b988845ed02beb3cc8b,275300000000
0x9f1d058ef274d4ba65ea6b96c82f3f73b4a614cc,238300000000
0x20f15e910fe9112d40915e4001841c4017c1c365,271100000000
0x92fa46a0d724093c227aba327a3e6a575d60e0f5,271600000000
0x1ef43542949cff0a75d36b0c9c2d0fdb1b4afe24,265400000000
0x4c7e7a4f9bc00bf81b9a7a4fae07ea6314524acf,265100000000
0x18f5bfcc1620104b7effdffb194b37cb9f9d2c0f,262000000000
0x8b478f24726e0c6d758c6e65fd90f0f238259b6f,257900000000
0x4f515017a974487b923fa0e0b7fa8848fa893ba6,272800000000
0xda5d69a5adb3c4d34a4d7c2e334c7a8161884747,274400000000
0x07cc7d04a7989300377b1ccea595813c81de1f09,270800000000
0x5c4f745d11814bb1bda9d3d5e37b891e47c5e976,274700000000
0xc2874ef7acb7f43ee945eeae6b11c5cb3742a39f,263200000000
0x08b73ec8fe0e11849acd610a13370b568abda221,273200000000
0x55f5c65f95ad60143ebeb60b35dc58c69e7bd9b1,268000000000
0x7f1cd181a3d820253e270ed92de7efbd3560c4e9,266700000000
0x1e6a57a12e62273d9a374886dd9e50f5b766f461,233500000000
0x215152bbae9cb7367d8234d4030189933df0fe07,252400000000
0x660e5bb7cceb60c83ec7c042a3ac6328e607b54b,270800000000
0xf8eb896e21529fe0e24f7762c70cd5ab64b6d184,268600000000
0x41659240e17b22a942b2d648aba28c3123fe60fe,263700000000
0x4fba80ff7f5186c2b20d6dd8287e0022e49640ef,270900000000
0x97a41a5c75e094d02a5d56c63d11118f65af4699,264400000000
0x7af3dd184ae31ff8d0e29c9a83e26fb09f1591b9,269300000000
0x01a98ac7dc1b995842da03829d71eb6771c81929,268500000000
0x8ad9c7e2bd62a6f7474228d2d4671f668c9add59,274600000000
0xcc422065c061bd22e0a4586490f707bd1b29287a,262300000000
0xc6347e0be8f090922c184352d832eaab1b481812,266400000000
0xc3653dac756661902be9ee6bc3c7909ba3b42263,262200000000
0x0ac7507efb4da60b2ddfd33c1332c7c2f6fd2358,267200000000
0xc491fbdbb9fc1153544d81b268a663ea824ce602,264800000000
0x9d1d10ac4f74d9edebe89cccee1915c06e9224e6,265600000000
0x43eef53c0f15d9607f9f9d5b5bc0479c1cd32f29,300000000
0x764170985cbdd43cec03a57fd1b8cfbe1e8af2d1,82400000000
0x49fcdc4f8b7967cae6c7dbd7322c8c50230b2cf1,52000000000
0xac67c6de210419224fb60686ef506d86314c968f,52300000000
0xfda37dc196b622837f313323deb2bf968273ecc1,200000000
0x40db34bbd8e59b540600ec33926ec99ae1792695,3500000000
0x437b8c106a77c6c9d6545d0d42b0eb5f02a46076,3500000000
0x0bf721ddb77f6eab7d8757e56838dedb868d3a7d,3500000000
0x99d3f460222a9fcf722ad4e7e8af3187343039a4,3500000000
0xefe139ecee9b787ae4329814058003e81a3a40c1,300000000
0x4bc2a0a51fb408217471499a8a54ac2d68315937,3400000000
0x949371e78324682d97e4c97f4148a689e12225cb,7500000000
0x76c5762e65cb28b928466256c680f5342c4ad234,6500000000
0x451621936ebd72d167cd4fd1a609a5f7f17c5a3b,506500000000
0x2881be5c1236c78890216359e8b0f6bd7ca4aaff,1300000000
0x5e8bca36a909082e39ffa529072cd7565e6f4ed0,35100000000
0xef04c0d8c9be4047a54db6de64e595124de3bc8c,9000000000
0x6d36ae7a6f3782c2a772ff72226e952ecb3cb320,5400000000
0x575c6fd4340f43857fd200a8beca809d45f3e155,500000000
0x665a9c44ac7e1e18a0688ccf57805eaf27666666,152700000000
0xb8174030a920dadfe664feb96c743a9225de3ec3,2000000000
0x680b50f4b64e3b0909c955d973947846dd9120d4,1004000000000
0xd5feabe830a2bacc848834cac8d7f5ff739d2699,3622900000000
0x53a9096e342930ce1919f5d1c4cf72c2828194a4,52100000000
0x930c7f13335e0623bc15d20f6606290830d64693,264400000000
0x75bced36e672c311fae03a67549559f03ca3d468,264500000000
0x02342f9ac2aad449d5eeec329723dba95e544518,264500000000
0xbcbe927dbef3e0a02634d702aef222693bf30a03,264500000000
0x22dd0e30429333869dfc683ad08f61c0f05eb8fa,264600000000
0x2b0fd89c3bb5863ac126dc8037ac55c0ecdc92d8,264600000000
0x414c54e5e4a34e07a0bd867edf725b355279fe5e,264400000000
0x2446abe789083e322232a17ebb784eaed744195f,264600000000
0xd096cb46b349e6815a3fc1f98d00667da39a8266,264400000000
0xff48de8d2f855e7571bd026160a3409b412b156f,264600000000
0xdf5f86f6ed8c27c55f207b74b08d6a46709174ba,264600000000
0xb9fb87b05809ff0dacd5ea9611659fc3d390d6be,264400000000
0x8799bf8cce5ab24fbbcc19536c03b646b11e0efb,264600000000
0xd99c4b04e52a34f41da9e619551879d877fc48c1,264400000000
0x17841e5b5c581442aac76ec57e6ee816ee9610c4,264400000000
0x1b08fb79732e7cd4af48ff8abf289cc75be6edf5,264600000000
0xe3fd831b61813ac4260813da3a2ca94e92f18ec8,264400000000
0x4ba3924b96c08fe4383076d8278434f68cc4459a,264500000000
0x79c66e7dc7d6432268fa32252ff4d8e6676250ee,264500000000
0xd511bce92b2b2424c4f8f81994ac7c94126b8d02,264500000000
0x0146479ed9301dd704e7b766c93076310c7c6db1,264500000000
0x084733599bf1af84e7568989269a42805018c373,264500000000
0xa4eb795a22838cf00c846da6c1759c41b854534a,264600000000
0x621765938b1d55a2a37a8fa92a920b8cb2d52269,264400000000
0xbed988e2ab3ea2595d6cdadd36f44325ff046792,264500000000
0xbb5b179d856a565cf6a2bcefad1e6de15badf7ff,264500000000
0xe1ac1d6a2232a1e57b18828ac264f5efaa56134b,264400000000
0xc3b9060bb885c4e2a5731ce042bb1aed9aa310c1,264400000000
0xe90ded578de50519c3d06962f44a684d82081c96,264400000000
0xa58d222855371d225cb3a41e15188fa787b74d33,264400000000
0xd336149f393d48f1cc830e0563a0ce8fb6053439,264500000000
0x7f52db74c0607f7315896d1a43ece562d0e4ebba,264400000000
0xb15b964295a71c9d34b5a54627211e79f208acbf,264400000000
0xf1cb0a3fef8984431851f64d2568562c6f5692a2,264400000000
0xe38e645d176725609f86b02ac69cfc1bc79c687d,88900000000
0x9e1d38565c4c8d0a2deba5a4de6ce0d3b8132343,5900000000
0xc36e87efd08dfc1560dd8d129254770fe8f67c6e,3800000000
0xa0c00a54012cefba9847d4339846b586ed5d906a,3800000000
0xe6bb3f72e61cc8720a60c4e07bf494ccb29bd650,3700000000
0x663222d88b67517d2beb5a013e8845f9f079c718,3700000000
0x7d52f8ecb4a809b1b2b0b036690fe80d30277389,3700000000
0xa7c764da3e598c792417ef1fbbdb1aa1c1dbda1a,171300000000
0xcd53f0238fef8569ff5f0b35a8a279014aec9719,5900000000
0x1e78a11138dc63489496e57ed195072e1a26a44f,57700000000
0x1f01a21790196b220acb184c8ab8a97379dba063,1600000000
0x4e2b81dc1d949e12e888e341ba03108825a6aad7,8300000000
0x37e819c6f7c51781c64fdbca8160eb221a6e058e,57600000000
0x76137239e723cca02c3283ad745d2a396ee09bc5,5600000000
0x015bacfd576fcb8d801466c319c900e0e7001219,1602300000000
0x0355ba4bdb1bc376b82fb7b8fd2b2f59384914b1,52700000000
0xa07d31afb0f1be2fb3e755f086c8c81b531853ee,3000000000
0x8edfcbaff51e84df1338628528b102081fd11768,139400000000
0x9e46008cb220b63413ac84079a18830d4730504d,176500000000
0x0c4861912d1c9807b4a0ca05d180924fc002e23d,5500000000
0xa2fa4e9f762dfdd5d5bdd2689ebd42b95927eb83,300100000000
0x76166b81ebbf6f4c1be871f112aeac01d2888888,550500000000
0xb5343cb297692d662975d0bf530f9dfa3468246c,15000000000
0x2de7c5642f1a1a76acea94a0e924a4a540f0cc23,200000000
0x94d79814142699b9601afa10e75b3369e7d70d64,41400000000
0x87f837bf39cbfa1ece7bfbe6e45d55eaad6c57a6,10700000000
0xef583cf54f6d8e3cd972f6923fa1603c72ad7ba9,292000000000
0xdd50440dffb2afa209b4999dde503bc77c4b5a2d,100000000
0x64e6a4609463a427d48d49db45f8dfce52d548c9,88100000000
0xc5aca3d9a2e63981e75eab8fcf40633af745f689,906600000000
0x189e61e95722f868cc3537b583fb88a80cf6be16,329400000000
0xe8680c54559479ea0227ab309c7b2e59d1aaf9c5,22500000000
0x9a2db785efc413dbbb62776a7532dc5fa6f5e4c1,1773200000000
0x00000006fbb45f23bc893d6eae365f1e101bdf40,311000000000
0x856dc4a12f08afa49f42b52f81769a96505f312c,300000000
0x5988b88bad0b6386eb510a186f68dc240fedf88e,2300000000
0x73b25b31534bacb86248d943d78ddc02ac001de5,2005700000000
0x40321b1282fdef435d9c9719252c92776c2613d2,601600000000
0x7591921c6f27cdc3aad6d00cb585d84d470090f6,400000000
0x77edcc641d9cf3d8f3bfde9a059eb0dafe879790,170000000000
0x1f45c5c507f587ced15186abf345bc6a89a8c58c,6100000000
0x69d404c452e7903457631f6188063ced0e8d39e8,691800000000
0x59da37169a44869b4feac1b3c3ee58b367de43e7,669700000000
0xa5d62c80e5dcd29f84169d4541d7110e67894999,330800000000
0x5a6429786e55e64746dc7f6adc8a6e392779568d,419300000000
0x76befa6ae95b633b132bb5bf20273d7ef999da20,406400000000
0xfff911fb34e19a0f71cab96bd30dc597971e8260,397700000000
0xcc63f60aff4a036110779e73522aeddeb973ab9d,417600000000
0x0a1277afeb86153b232913f30c19f57d734317cc,415900000000
0xc16c8476ad13c92429cf31d940ff0eee1b747b3c,399500000000
0x66a42fa08cbee9763e94d5944cfed6efa8b22f72,414900000000
0x5fd4d0e4ee97a34ab19296f9648d6a3ef206ca84,414500000000
0xc68e1e06ccd0c7db5dae3d8213e50b40384fb52c,400300000000
0xfbc253952075097da4f4f721bc595f3569842f59,600000000
